index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
249,What are Objects and Classifications in the ontology system?,"In the ontology system, Objects are used to label specific locations in a frame, such as a car in a video frame. Classifications are frame-level labels that do not have a specific location, such as indicating if an image is taken during the day or night.",How can attributes be structured under the 'Horse' object?,"Under the 'Horse' object, attributes can be nested such as 'Color'. This allows for more detailed annotation by specifying characteristics like 'Black', 'White', 'Brown', or 'Other'.","What options are available for classifying the time of day, and how are they categorized?","The time of day can be classified into categories such as 'Dawn', 'Day', 'Dusk', and 'Night'. This classification does not specify a location but represents a general attribute of an image or video frame."
220,Where can I enable the Study level workflow for DICOM studies?,You can enable the Study level workflow in the Settings tab of your Project under the DICOM section.,What is the function of the 'Study level workflow' toggle in the DICOM settings?,The 'Study level workflow' toggle allows you to assign and submit annotation tasks on a study basis.,Why is the 'Start labeling study' button visible in the application?,The 'Start labeling study' button is visible because the Project contains multiple series belonging to the same study.
9,How do I start training the 'Day and night' model?,"To start training the 'Day and night' model, click the 'Train model' button.",What should I do if I want to view the ontology linked to the model?,"To view the model's ontology, click the 'View model's ontology' button.",What does the message 'This model has yet to be trained' indicate?,This message indicates that the model has not yet undergone any training process.
207,How can I set a keyframe for a dynamic attribute change?,"To set a keyframe for a dynamic attribute change, you can use the + icon or the keyboard shortcut Shift + L to mark keyframes where the attribute changes value.",What is the purpose of the 'Preserve chosen state' checkbox?,"The 'Preserve chosen state' checkbox can be selected if you want the attribute state to remain constant across frames without change, unless manually altered.",How do I apply attribute values to all frames following a keyframe?,"You can apply attribute values to all frames following a keyframe by using the Play icon or the keyboard shortcut Shift + P to propagate the attribute values, matching the value set in the keyframe."
587,What page are you currently on when viewing the application?,You are currently on the Index Explorer page.,How can you access the Collections page from the current screen?,You can access the Collections page by clicking the 'Collections' button next to 'Explorer' at the top of the page.,What is the current dataset focus as shown in the screenshot?,The current dataset focus is the '1M BDD index' with 996K frames.
269,How can I join an Ontology in my organization?,"To join an Ontology, navigate to 'Ontologies' in the Encord platform, select the 'All Encord ontologies' tab, find the Ontology you want to join, and click 'Join ontology'.",What happens when I join an Ontology?,"When an Organization Admin joins an Ontology, they are automatically assigned the 'Admin' user role for that Ontology.",Is there a way to filter Ontologies by owner?,"Yes, Ontologies can be filtered by Ontology owner using the 'Filter by ontology owner' dropdown menu."
437,How can I check an annotator's submission progress?,You can check an annotator's submission progress by visiting the 'Overview' tab in the Annotators section. This provides quick insights into the total and submitted benchmark tasks as well as their progress.,What should I do if I want to verify the benchmark labels and submissions?,You should use the 'Annotator submissions' tab to verify the benchmark labels and a given annotator's submission in the label editor. You might also find it beneficial to schedule a live review with your team.,Is there a way to download the results of all tasks for team review?,"Yes, you can download the entire set of results as a CSV file by using the 'Download CSV' option, which you can then share with relevant team members."
34,How do I start configuring Google Public DNS for my Ethernet connection?,"To configure Google Public DNS for your Ethernet connection, click on 'Network & internet', then 'Ethernet', and click 'Edit' next to 'DNS server assignment' as shown in the screenshot.",What should I do after clicking 'Edit' next to 'DNS server assignment'?,"After clicking 'Edit', use the drop-down menu to select 'Manual', then toggle 'IPv4' to 'On'. If there are any IP addresses listed, note them down and replace them with Google's DNS servers: 8.8.8.8 or 8.8.4.4.",Why is the DNS server assignment initially set to 'Automatic (DHCP)'?,"The DNS server assignment is set to 'Automatic (DHCP)' by default to automatically obtain DNS settings from your internet service provider, but you can configure it manually to use Google Public DNS."
172,How can I toggle between displaying all labels or only labels in the current frame?,You can toggle between displaying all labels or only those in the current frame by using the 'A' toggle at the top of the Labels pane.,Which option should I use to filter the labels by a range of frames?,Use the option labeled 'E' to filter labels by a range of frames.,"If I want to edit the attributes of a label instance, which icon should I use?","To edit the attributes of a label instance, use the icon labeled 'L' in the screenshot."
46,How do I access the System Preferences on my Mac?,Click the Apple logo in the top-left corner of the screen and select 'System Preferences' from the dropdown menu.,What should I do after selecting System Preferences in order to change network settings?,"After selecting System Preferences, click on 'Network' to access and change your network settings.",Which macOS versions are compatible with these instructions?,"These instructions are compatible with macOS Monterey, Big Sur, Catalina, Mojave, High Sierra, Sierra, El Capitan, and Yosemite."
436,How do I start labeling tasks in the Traffic Training Project Demo?,You can start labeling tasks by clicking the 'Start labeling' button located on the top right corner of the screen.,What should I do if a task is assigned to me?,"If a task is assigned to you, you need to annotate it by clicking the 'Annotate' button under the Task column next to the assigned task.","Once a task is submitted, can it be reopened for labeling again?","No, once an annotator submits a task, it cannot be reopened as per the documentation text."
275,How do I choose a model for classification?,"You can select a model from the list of models under the 'Classification' section. In the screenshot, 'Day or Night (RESNET_101)' is selected.",What is the purpose of setting the classification range?,Setting the classification range allows you to specify the range of frames over which the model will run. You can input the start and end frame numbers in the 'Classification range' fields.,How can I adjust the confidence level for the model?,"You can set the confidence level by entering a value between 0 and 1 in the 'Confidence' field. The model will only include data points in its output if it meets this confidence threshold. In the screenshot, the confidence is set to 0.6."
93,How can I hide object names in the label editor?,You can hide object names by toggling the 'Display object names' switch off in the Label display settings.,Where do I adjust the font size for labels in the editor?,The font size for labels can be adjusted in the 'Object label font size' section by entering the desired size in pixels.,What does the 'Display object classifications' toggle do?,The 'Display object classifications' toggle controls the visibility of object classifications within the Label Editor.
228,How can I view all the transcriptions in the Transcription Pane?,"To view all the transcriptions in chronological order, click the icon at the top of the Label Editor to open the Transcription Pane on the right side.",What does the 'Beautiful Voice' label refer to in the screenshot?,"The 'Beautiful Voice' label in the screenshot refers to different segments of audio that have been transcribed, as shown in the Transcription Pane on the right.",How can I toggle the transcription display on the main interface?,You can toggle the transcription display by clicking the 'Show transcript' button at the top of the interface.
682,What does the Metric Correlation chart show in this screenshot?,The Metric Correlation chart shows a scatter plot comparing the Width and Height metrics of the current filtered data. This helps to spot trends or correlations between these metrics.,How can I understand the class distribution of labels in this data?,"The Label Class Distribution section displays a bar chart showing the quantity of each label class within the current filtered data. It also highlights under-represented classes, helping to identify potential imbalances across label categories.",What kind of issues are identified in the images within the application?,"The application identifies issues such as duplicates, blur, darkness, and brightness in the images. In the screenshot, there are 16 duplicates, 8 that are blurry, 2 that are dark, and none that are too bright."
401,What happens to tasks completed by 'kenny' and 'celine' in the workflow?,Tasks completed by 'kenny' and 'celine' are sent to Review stage A for review.,"Where are tasks sent if they are completed by 'rad', 'rizwan', or 'siarhei'?","Tasks completed by 'rad', 'rizwan', or 'siarhei' are sent to Review stage B.",What review stage handles tasks from collaborators not listed in the router?,Collaborators not explicitly added to the router are directed to Review stage C.
3,What section do I need to open to access the detection and segmentation settings?,You need to open the 'Detection and segmentation' section.,How do I specify the frames the model should process in the detection range?,You can specify the detection range using the 'Detection range' fields to set the start and end frames.,What is the purpose of the 'Confidence' setting in the model configuration?,"The 'Confidence' setting determines how confident the model has to be for a data point to be included in its output, with a value ranging from 0 to 1."
547,How can I create a new dataset to attach to my project?,You can create a new dataset by clicking the '+ New dataset' button in the 'Manage project’s datasets' window.,What should I do after selecting the dataset I want to attach?,"After selecting the dataset you want to attach, click the 'Attach' button next to the dataset name, then click 'OK' to attach the dataset(s) to the project.",Is it possible to attach multiple datasets to one project?,"Yes, multiple datasets can be attached to the same project."
230,How can I create a new bounding box for a 'Gate' in the application?,"To create a new bounding box for a 'Gate', select 'Gate' from the 'Classes' menu or use the hotkey <kbd>3</kbd>, then draw the bounding box around the desired area in the image.",What should I do if I want to assign a classification to the 'Road closed sign' bounding box?,"Highlight the 'Road closed sign' bounding box by clicking on it, and then assign a classification using the relevant buttons or hotkeys, such as <kbd>q</kbd> or <kbd>u</kbd>.",How is the season determined in the image?,"The season is determined by using the 'What season is it?' classification, which is currently set to 'fall' as indicated in the labels section."
493,How can I access the Agents section?,"To access the Agents section, open the automated labeling drawer and click on the Agents option.",What should I do after selecting an Agent from the dropdown?,"After selecting an Agent from the dropdown, click the 'Trigger agent' button to trigger the Agent and call the API endpoint.",Is there an alternative way to trigger an agent besides using the dropdown?,"Yes, alternatively, you can right-click the editor canvas, click 'Trigger agent', and then select the agent you want to run."
93,How can I hide the names of annotation objects in the Label Editor?,Toggle the switch labeled 'Display object names' to hide the annotation object names in the Label Editor.,What does the 'Display object hash' option do?,The 'Display object hash' option toggles the visibility of the label hash (ID) for annotation objects in the Label Editor.,How can I change the font size of object labels in the editor?,You can change the font size of object labels by adjusting the value in the 'Object label font size' field.
708,What is the current metric being displayed on the graph?,The current metric being displayed on the graph is 'Precision by metric' with confidence on the x-axis.,Where can I set the prediction thresholds for my model evaluation?,"You can set the prediction thresholds under 'Prediction Thresholds' on the right side, where you can adjust the IOU and Min Confidence Thresholds.",How can I compare two models' performance using this application?,"You can compare two models' performance by selecting the 'Prediction Set' and 'Compare against' options at the top right of the screen, which allows you to choose different models."
450,How can I locate a specific instance in the application?,"To locate a specific instance, use the 'Search instance' interface shown at the top of the screenshot to filter and find the specific instance by its Identifier.",What should I do after locating my instance in the list?,"After finding your instance in the list, click 'View' in the 'Actions' column as shown in the screenshot to jump directly to the first annotation of that instance in the dataset.",Can I edit an instance identifier directly from the list view shown?,"No, you cannot edit an instance identifier directly from the list view. To obtain an identifier, you can use methods like the Label Editor or exported labels as described in the documentation."
600,How can I confirm moving the selected files to the folder?,"To confirm moving the selected files, click the 'Move' button in the dialog.",What happens after I start typing the name of a folder?,"After you start typing the name of a folder, you can select the folder you want to move the files to.",What should I do if I decide not to move the files?,"If you decide not to move the files, click the 'X' button in the top-right corner of the dialog to cancel the operation."
687,Where in the application can you find the number of labels for the dataset?,"The number of labels can be found under the 'Annotations' section, and it shows 41,420 labels.",What does the application indicate about severe and moderate outliers?,"The application shows that there are 21,691 severe outliers and 6,125 moderate outliers.",What are some of the metrics used to identify outliers in the dataset?,"The metrics used to identify outliers include Label Duplicates, Relative Area, Absolute Area, Polygon Shape Anomaly, and Aspect Ratio."
24,What is the main purpose of Encord Annotate as mentioned in the documentation?,"Encord Annotate allows you to efficiently label visual data, manage large-scale annotation teams, and ensure high-quality data for machine learning applications through customizable workflows and quality control tools.",How can Encord Annotate help streamline labeling processes?,Encord Annotate can streamline labeling processes by providing customizable workflows and quality control tools to efficiently label visual data and manage large-scale annotation teams.,Why should a user consider getting started with Encord Annotate?,A user should consider getting started with Encord Annotate to streamline their labeling processes and produce top-tier training data for machine learning applications.
14,How do I select a model to attach to the project?,"You can select a model by using the dropdown menu under 'Select a model'. In the screenshot, the 'Apple detection ...' model is selected.",What should I do after mapping the model ontology to the project ontology?,"After mapping the model ontology to the project ontology, you should select which training iterations you would like to include from your model.",How do I finalize attaching a model once I've made my selections?,Click the red 'Attach model' button at the bottom right corner of the interface to finalize your model attachment.
3,How do I select a model to run in the 'Detection and segmentation' section?,You can choose from a list of models previously attached to the project by selecting the model in the dropdown menu.,What is the purpose of setting the 'Detection range'?,The 'Detection range' allows you to specify the start and end frames within which you want the model to run.,How can I adjust the model's confidence level for detections?,"You can set the 'Confidence' value, ranging from 0 to 1, to determine the minimum confidence threshold for including a data point in the model's output."
697,How can I adjust the priority of tasks when sending a collection to Annotate?,You can adjust the priority of tasks by using the slider under 'Adjust priority of tasks'. Set it between 'Low' and 'High' as needed before clicking 'Submit'.,Is it possible to include model predictions as pre-labels when sending a collection to Annotate?,"Yes, you can include model predictions as pre-labels by toggling the 'Include model predictions as pre-labels' switch to the 'on' position.","Can I leave a comment for the frames in the collection, and how?","Yes, you can leave a comment by toggling the 'Leave a comment' switch and entering your comment in the provided text box before clicking 'Submit'."
552,What is the primary function of the 'Index' component in Encord?,"The 'Index' component in Encord provides storage for images, image groups, image sequences, videos, and DICOM. It allows data to be imported or registered with Encord to create Datasets for Projects, enabling data to belong to multiple Datasets and Projects.",Who are the intended users of the 'Annotate' component within Encord?,"The intended users of the 'Annotate' component are Domain Experts, AI Trainers, and Labelers. It is designed to create labeling workflows for transforming unlabeled data into labeled data.",How does the 'Active' component contribute to the improvement of ML models in Encord?,"The 'Active' component facilitates the validation and debugging of datasets through active-learning cycles. It helps identify and refine labels that impact model performance, improving the quality and efficacy of ML models over time."
724,What is the annotation duplicate value shown in the application screenshot?,The annotation duplicate value is 0.48523.,What items have been labeled in the screenshot?,"The items have been labeled as 'orange', and the information is sent to 'robot@cord.tech'.",How does the application handle grouping of similar items according to the documentation?,"The annotation might include both labeling of the group as a whole and each individual item, such as labeling a group of oranges and then individual oranges within that group."
328,How can I add a tag to a project from the Options tab in the Settings page?,Navigate to the Options tab in the Settings page and click the Project tags drop-down. You will see the available tags. Click on a tag to add it to the project.,How do I remove a tag from a project in the settings?,"To remove a tag, either click on the tag again in the dropdown list or click the 'x' button next to the tag's name in the Project tags section.",What should I do if I want to upload annotation instructions to my project?,Click the 'Add instructions' button to upload a PDF of annotation instructions to your project.
290,How do I invite new collaborators to the project?,Click the '+ Invite collaborators' button to open the dialog for inviting new collaborators.,What roles can I assign to a collaborator?,You can assign roles such as 'Admin' or 'Annotator' to collaborators.,Where can I see a list of current collaborators and their roles?,"In the 'Team' section under 'Settings,' you can see the list of collaborators and their assigned roles."
370,How can I download the table entries in CSV format?,You can download the table entries in CSV format by clicking the 'Download CSV' button.,How can I filter the table entries by dates?,You can filter the table entries by dates by clicking the range of dates and selecting the start and end date of the period you would like to see table entries displayed for.,What does the 'Data file' option show in the Team collaborators section?,The 'Data file' option displays the session time that collaborators spent working on individual files.
302,How can I adjust the percentage of labels that require manual review in the application?,You can adjust the percentage of labels that require manual review by configuring the sampling rate slider under the 'Sampling rate' section in the Quality settings.,What are the default rejection reasons provided in the application for manual quality control?,"The default rejection reasons provided are 'box_not_tight_enough', 'polygon_off', 'wrong_class', and 'no_nested_attributes'.",How can I ensure that certain classes or annotators are always reviewed by specific reviewers?,You can ensure specific reviewers for certain classes or annotators by enabling the 'Reviewer mapping' toggle and configuring the reviewer mapping in the Quality settings.
380,How can I access the annotation instructions in the application?,You can access the annotation instructions by clicking on 'Annotation instructions' in the top bar of the interface.,Is there any way to search for specific classes in the annotation interface?,"Yes, you can use the search bar under 'Classes' to find specific classes.",Where do I find the option to submit my annotations?,The 'Submit' button is located at the top right of the interface.
216,How do I edit the classifications for the wing object in the application?,"To edit the classifications for the wing object, click on the 'Edit classifications' button next to the Wing label under Instance labels. This button is indicated by a pencil icon in the screenshot.",What is the purpose of the 'Set relation...' bar in the context of linking object instances?,"The 'Set relation...' bar is used to select and link the current instance to another instance. In the example, a chicken and its wing can be linked via this bar, with options for instances on the same frame or different frames.",Where are the chicken and wing instances visible on the interface?,"The chicken and wing instances are visible on the left side of the interface under 'Instance labels.' They are also shown within the frame preview on the right, with bounding boxes indicating their positions."
550,What is the purpose of using Encord Active as described in the documentation?,"The purpose of using Encord Active is to validate labels, assess data quality, and optimize model performance to deliver better results, faster.",How can labeled datasets be corrected using Encord Active?,"Labeled datasets can be corrected using Encord Active by detecting and validating label errors with label, data, and model quality metrics and Encord Embeddings, and applying analytics and custom filtering to identify and correct inaccuracies.",What can you do after importing model predictions into Encord Active?,"After importing model predictions into Encord Active, you can use advanced analytics and quality metrics to discover weak spots in the model, improve performance with actionable insights, and visualize model outputs using embedding plots to identify improvement areas."
631,How do I create a new folder in the Encord platform?,"To create a new folder, navigate to 'Files' under the 'Index' heading. Then, click the '+ New folder' button. A dialog will appear where you can give the folder a name and description, and then click 'Create'.",What should I do after clicking the '+ New folder' button?,"After clicking '+ New folder', a dialog will appear where you need to give the folder a meaningful name and description. Then, click 'Create' to finalize the folder creation.",Where can I check the number of folders I've created?,You can check the total number of folders in the 'Overview' section on the right side of the screen. It shows the total number of folders created.
208,What does the plus icon in the application do?,The plus icon is used to set keyframes on frames where an attribute changes value.,How can I set keyframes using the keyboard in the application?,You can set keyframes by using the keyboard shortcut Shift + L.,"Is it possible to manually add or remove keypoints, and if so, how?","Yes, you can manually add keypoints by using the icon or the keyboard shortcut Shift + A."
94,What does the 'Handle size' setting do in the application?,"The 'Handle size' setting adjusts the size of all handles, such as corners, vertices, and keypoints, ranging from 1 to 10 pixels.",How can I change the opacity of labels in the application?,"You can change the label opacity using the 'Object opacity' setting, which allows you to set the transparency from 1% to 100% for better visibility.",What is the purpose of the 'Permanent drawing (existing instances)' feature?,"The 'Permanent drawing (existing instances)' feature allows you to skip a specified number of frames, in this case 12, and reinitiate drawing tools automatically for already existing instances, facilitating continuous labeling."
604,What is the first step in managing and curating data according to the application?,The first step is to import your data.,What options are available after importing data in the application?,"After importing data, the next option is curation, which includes filter and search capabilities.",What is the final step in the data management and curation process?,The final step is to create a dataset.
725,What does the application do when it detects a missing object in a frame?,"The application flags the frame where the object is missing, as shown in frame i in the example.","According to the screenshot, why is frame i flagged?",Frame i is flagged because it does not include the object 'CAT' that is present in the same region in frames i-1 and i+1.,How is the comparison of objects performed by the application?,The application uses a running window to compare object overlaps between frames to identify any missing objects.
35,How do I enable IPv4 in the DNS settings?,"To enable IPv4, toggle the switch next to 'IPv4'. Make sure it is set to 'On'.",What should I enter in the Preferred DNS field?,"Enter '8.8.8.8' in the Preferred DNS field, which is the IP address for Google DNS.",What changes should I make to use Google DNS for Alternate DNS?,Enter '8.8.4.4' in the Alternate DNS field to use Google DNS.
654,How can I view the details of the dataset?,"To view the details of the dataset, select 'View dataset' as indicated in the documentation.",Where can I find the list of projects linked to this dataset?,"To see the list of all projects the dataset is attached to, navigate to the 'Settings' tab and select 'Linked Projects'.",What user role is associated with the project 'Sports images'?,The user role associated with the project 'Sports images' is 'Admin'.
701,What is the purpose of the 'Model Evaluation' tab in the application?,"The 'Model Evaluation' tab is used to assess the performance of different model iterations, comparing metrics such as mAP, precision, recall, and aIOU between selected prediction sets.",How can I adjust the prediction thresholds for model evaluation?,Prediction thresholds can be adjusted using the 'IOU Threshold' and 'Min Confidence Threshold' sliders found in the 'Prediction Thresholds' section of the interface.,"In the 'Model Summary,' what metric indicates the mean Average Precision at 0.50 IOU for the YOLOV8 20 Epoch model?","In the 'Model Summary,' the mean Average Precision (mAP) at 0.50 IOU for the YOLOV8 20 Epoch model is 22.86%."
720,What is indicated by the overlapping objects in the frames shown in the screenshot?,"The overlapping objects shown across frames _i-1_, _i_, and _i+1_ indicate a potentially broken track as they do not share the same object hash.",Why does the object hash change in frame i according to the screenshot?,"The object hash changes in frame _i_, potentially indicating that the identification of the object is incorrect, thus flagging it as a broken track.",How does the application flag frames with broken tracks as seen in the screenshot?,"The application flags frames as potentially having broken tracks when objects of the same class overlap in consecutive frames but change object hash, as demonstrated in frame _i_."
394,How can I add collaborators to my project within the application?,"You can add collaborators by clicking on the 'Manage Collaborators' button labeled as 'A'. This allows you to add users to your project as collaborators, who can then be assigned to different stages of the workflow.",What is the purpose of the Workflow Library in the application?,"The Workflow Library, labeled as 'B', contains all the components that make up a project. You can drag the cards from the Workflow Library onto the Workflow Canvas to build the stages a workflow should pass through, creating complex workflows by using some cards more than once.",How can I adjust the view of my workflow on the canvas?,"You can adjust the view by using the zoom controls labeled as 'D'. These allow you to zoom in and out of the Workflow Canvas for convenience, especially useful for large workflow designs."
373,What do I need to do to see the annotator's classification and label?,"To view the annotator's classification and label, you need to click on the 'View' icon shown in the screenshot.",What is the function of the 'View' button in the application?,The 'View' button allows you to see the annotator's classification and label.,How can I compare the annotator's label to the benchmark label?,"You can compare the annotator's label to the benchmark label by checking the 'Score' section, which measures the alignment."
300,How can I attach an ontology to my project?,Click the 'Attach ontology' button and select the ontology you want to add to the Project. You also have the option to create a new ontology.,What is the purpose of the 'Sampling rate' setting shown in the screenshot?,"The 'Sampling rate' setting indicates the percentage of labels that should be manually reviewed. It shows a slider set to 100%, meaning all labels will undergo manual review.",What should I do after attaching the ontology and dataset to my project?,"After attaching the ontology and dataset, click the 'Create project' button to finalize creating the project."
710,What does the Average IOU graph in the screenshot represent?,"The Average IOU graph represents the average Intersection Over Union (IOU) for each class, comparing two models: YOLOV8x with 20 epochs and YOLOV8 with 30 epochs.",How can I adjust the IOU threshold in the application?,You can adjust the IOU threshold by using the slider located under 'Prediction Thresholds' on the right side of the application interface.,Where can I find the option to compare the current prediction set with another?,The option to compare the current prediction set with another can be found under the 'Model Evaluation' section where you have dropdowns for 'Prediction Set' and 'Compare against'.
500,How can I view inference API details for a specific model iteration?,"To view inference API details for a specific model iteration, click the 'Inference API details' icon next to the download button for that iteration in the 'Food detection model training log'.",What information is shown for each model iteration in the training log?,"For each model iteration, the training log shows the Model iteration ID, Trained (time elapsed since training), Epochs, Batch size, and Cost in dollars. There are also options to download the model and view its inference API details.",How do you download a trained model from the training log?,"To download a trained model from the training log, click the 'Download' button corresponding to the desired model iteration in the 'Food detection model training log'."
310,How can I filter tasks to only see those that are currently 'Completed'?,You can use the filter drop-down at the top right (labeled as K) to select the 'Completed' status. This will show only the tasks that have been completed.,What information can I get about a data asset from the 'Activity' page?,"From the 'Activity' page, you can see the file name (A), dataset (B), type of data (C), status (D), number of frames (E), reviews count (F), last submitted timestamp (G), who submitted the annotation (H), who reviewed it (I), and you have an action option (J) to view it.","If I need to send a task back to annotation, how can I do that?","To send a task back to annotation, locate the task in the list using the 'Search file' box or navigate manually, then use the 'Reopen' feature next to the search box at the top (labeled as A)."
327,Where can I access the annotation instructions within the application?,The annotation instructions can be accessed by clicking on the 'Annotation instructions' button located at the top left of the application interface.,How can I upload the instructions for annotators?,"To upload instructions for annotators, click the 'Add instructions' button and submit the instructions in PDF format.",What is the importance of specifying details in the annotator instructions?,Providing specific details in the annotator instructions helps increase the chances that annotators will perform well and deliver the expected results.
167,What does the Submit button do in this application?,"The Submit button is used to submit your labels for review, but all issues need to be resolved before submitting a task.",How can I skip a task if I find an issue such as a blurred image?,"Click the Skip button to skip the task. It will automatically be unassigned and marked as Skipped, and another available task will open in the Label Editor.",What happens after I skip a task?,"When you skip a task, it is unassigned from you and its status is updated to Skipped. If another task is available, it automatically opens and is assigned to you."
82,What is the purpose of the 'Auto layout' option in the application?,The 'Auto layout' option resets the Label Editor to your predefined auto layout. You can also set it as your default layout for DICOM studies in the Label Editor.,How can I save my current window layout as a preset?,"To save your current window layout as a preset, enter a preset name in the 'Custom series presets' section and click the plus icon next to it.",Where can I access the 'Auto layout' option?,"The 'Auto layout' option can be accessed from the 'Quick view' menu, which is represented by the grid icon in the application toolbar."
63,How can I change the DNS server settings for an ethernet connection?,"Click on 'Edit' next to the 'DNS server assignment' in the 'Network & internet' -> 'Ethernet' settings. Then, follow the additional instructions to set up Google Public DNS.",What should I do before changing the DNS server settings?,"Before changing the DNS server settings, write down any IP addresses listed in the 'Preferred DNS server' or 'Alternate DNS server' for future reference.",What are the Google DNS server IP addresses for IPv4?,"For IPv4, use the Google DNS server IP addresses 8.8.8.8 and/or 8.8.4.4."
688,What is the main functionality of the 2D Metrics View in this application?,"The 2D Metrics View plots the first metric values on the x-axis and the second metric values on the y-axis, allowing users to examine the relationship and interactions between these two metrics in the dataset.",How can a user identify which metrics are plotted on the axes in the 2D Metrics View?,"The user can look at the dropdown menus labeled 'X Metric' and 'Y Metric' within the 2D Metrics View, which currently display 'Width' for the x-axis and 'Height' for the y-axis.",What dataset is currently being analyzed in this screenshot of the application?,"The dataset currently being analyzed is the '[Validation] COCO 2017 Dataset', as indicated in the top-left corner of the application interface."
112,How can I switch between different views in the MPR display?,"You can switch between different views in the MPR display by using the MPR dropdown menu, which is located above each image window. In the provided screenshot, views can be switched between AXIAL, CORONAL, and SAGITTAL.",What is indicated by the label 'PRIMARY' in the MPR dropdown menu?,"The 'PRIMARY' label in the MPR dropdown menu indicates the primary view, which is shown in the main annotation window. In the screenshot, the AXIAL view is labeled as PRIMARY.","Can labels be applied to all views in the MPR display, and do they appear in other views automatically?","Yes, labels can be applied to all views in the MPR display. When a label is created in one view, it automatically appears in all other views."
149,How do I create a new skeleton template in the application?,"To create a new skeleton template, click the '+' icon under the 'Create' section in the 'Skeleton templates' settings of the DICOM ontology.",What are the visible keypoints for the head displayed in the screenshot?,"The visible head keypoints in the screenshot are 'Top of head', 'Back of head', 'Front of head', and 'Bottom of head', each represented with different colors.",How can I delete a template in the application?,You can delete a template by selecting it and then clicking the 'Delete template' button on the right side of the screen.
320,How can I change the date range to view different instance label actions over time?,You can set the time period by selecting a range of dates labeled as 'A' in the screenshot. This allows you to view the number of instance label actions for the chosen period.,How do I download the data displayed in the graph?,You can download the data as a CSV file by clicking the 'Download CSV' button labeled as 'B' in the screenshot.,Can I view the data in a different format besides the bar chart?,"Yes, you can switch between displaying the data as a bar chart or a table by selecting either the 'Chart' or 'Table' option labeled as 'C' in the screenshot."
421,How many annotators are required in the 'Consensus 1' stage?,The 'Consensus 1' stage requires 6 unique annotators.,What needs to happen for consensus to be reached in the 'Consensus 1' stage?,4 reviewers are required for consensus to be reached in the 'Consensus 1' stage.,What is the purpose of the 'Review and refine' step in the 'Consensus 2' stage?,The purpose of the 'Review and refine' step is to approve and refine labels from the Consensus stages.
308,What information does the 'Project task status overview' section provide on the Summary dashboard?,"The 'Project task status overview' section provides a summary of your task statuses, showing the number of annotation tasks in each state: Annotate, Review, or Completed.",How many total tasks are displayed in the 'Project task status overview' section?,The 'Project task status overview' section displays a total of 20 tasks.,What does the visual display in the 'Instance label task status' section represent?,"The 'Instance label task status' section shows an overview of the status of your instance labels, including the number of instances that are In review, Returned for annotation, or Approved. It displays a total of 16 instances."
309,What does the 'Explore' page provide in terms of data analysis?,"The 'Explore' page provides interfaces to understand how project's annotations are distributed amongst the data assets at both an instance and label level, allowing for deeper exploration through attributes on objects and frame-level classifications.",How many total instances and object instances are there in the project as shown in the screenshot?,There are 32 total instances and 32 object instances in the project as shown in the screenshot.,What information is shown in the label statistics section for the 'quad_video_1_normalized.mp4' file?,"The label statistics section shows a distribution of 31 labels for the 'quad_video_1_normalized.mp4' file, including categories like Person, Planter, and several specific person-related labels."
664,What is the first step in using the Active and Annotate products as shown in the screenshot?,The first step is to create a project.,"Once I create a project, what is the next action according to the application flow?","After creating a project, the next step is to import the project.",What should I do after sending the collection to Annotate as per the workflow?,"After sending the collection to Annotate, you complete tasks."
88,How do I enable study level classifications in the application?,Navigate to the Settings tab of your Project and enable the Study level classifications toggle in the DICOM section.,Where can I start labeling once the setup is complete?,Navigate to the Labels tab and click the 'Start labeling' button.,What is the purpose of enabling study level classifications?,Enabling this setting allows you to create study level classifications in your projects.
273,What title is given to the model being created in the screenshot?,The title given to the model is 'Day / Night classification'.,What is the function of the model described in the screenshot?,The model is intended to determine whether an image is taken during the day or at night.,Which framework and model are selected for the classification model in the application?,The FASTAI framework and RESNET_101 model are selected.
552,What types of data can be managed and selected in the Index component of Encord?,"The Index component of Encord allows users to manage and select data types such as images, image groups, image sequences, videos, and DICOM.",Who are the primary users of the Annotate component in Encord?,"The primary users of the Annotate component are domain experts, AI trainers, and labelers.",How does the Active component help improve ML model performance in Encord?,"The Active component helps improve ML model performance by finding edge cases, debugging model errors, and discovering high-impact data, thereby aiding in continuous data selection for training, fine-tuning, and validation."
489,How do I register a new editor agent in Encord?,"To register a new editor agent, navigate to the 'Agents' section of the Encord platform, ensure you're in the 'Editor agents' screen, and click '+ Register agent' to set up a new editor agent.",What information do I need to provide when registering an editor agent?,"When registering an editor agent, you need to provide a meaningful name, a description for the agent, and the API endpoint that will be called when the agent is run in the Label Editor.",What type of API endpoints are supported for registering editor agents?,Only HTTPS endpoints are supported for registering editor agents in Encord.
526,What happens when I click on the 'Winner' classification?,"When you click on the 'Winner' classification, it expands to show the options applied to the audio file.",How can I reject the classifications on an audio file?,"To reject the classifications on an audio file, you need to press the 'Reject' button. A dialog will then appear for you to provide a reason for rejection.",How do I begin reviewing an audio file in the Label Editor?,"To start reviewing, you need to click 'Initiate' next to a file from the Project Queue, which will then bring up the audio files in the Label Editor."
