,index,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3
84,412,How can I save my current workflow as a template?,"To save your current workflow as a template, click the 'Save as new template' button located at the bottom of the Workflow stages panel.",What are the steps in my current Workflow?,"Your current Workflow includes the following stages: Annotate, Review, Percentage router, Collaborator router, and Complete.",What do I do next to finalize my Workflow setup?,"To finalize your Workflow setup, review the stages listed (Annotate, Review, Percentage router, Collaborator router, Complete) and then click the 'Save as new template' button to save this workflow configuration for future use."
85,493,How do I trigger an agent in this interface?,"To trigger an agent, first select the agent 'Tighten bounding boxes on frame' from the dropdown menu in the 'Agents' section. Then click the 'Trigger agent' button, which is highlighted in red below the dropdown.",What is the purpose of the 'Trigger agent' button?,"The 'Trigger agent' button initiates the selected agent to perform its designated task. In this context, the button will trigger the agent named 'Tighten bounding boxes on frame' to call the API endpoint.",What do I do next to achieve automated labeling?,"To proceed with automated labeling, ensure you have selected an agent from the dropdown under the 'Agents' section. If 'Tighten bounding boxes on frame' is selected as shown, click the 'Trigger agent' button to begin the process."
86,7,How do I start creating a new model?,"To create a new model, click the '+ New model' button located at the top right of the screen.",What is the purpose of the 'Cat segmentation model' shown in the list?,"The 'Cat segmentation model' is a model trained to segment cats, with the model's ontology set to 'Cat'. It has been trained 0 times and was created on 22/06/2023.",What do I do next after clicking '+ New model'?,"After clicking the '+ New model' button, you need to enter a title and optionally a description for your model. You will also need to select a Model type, Framework, Model, and set up the model's Ontology."
87,218,Why is 'Chicken (0)' highlighted in blue in the Instance labels section?,"'Chicken (0)' is highlighted in blue to indicate it is the currently selected or linked instance, as shown by the blue border around it. This corresponds to the action of linking instances mentioned in the documentation.",What is the significance of the numbers in parentheses next to the labels?,"The numbers in parentheses next to the labels, such as 'Chicken (1)' and 'Wing (1)', indicate the count of instances currently linked or associated with each label in the Instance labels section.",What do I do next to add another instance if needed?,"To add another instance, click the plus (+) icon next to the label you want to associate the new instance with, such as 'Chicken'."
88,349,How do I report a missing label for a specific frame?,"To report a missing label, click on the 'Report missing labels' button located at the top-right corner of the screen. A dialog will appear where you can enter details about the missing labels in the frame. Once you've filled in the information, click 'Submit' to send the report.",What does the '183' notification next to each pending review signify?,"The '183' notification next to each pending review likely indicates a count or identifier, perhaps signaling a unique ID or the number of frames/issues remaining to be reviewed in that task.",What do I do next to approve all labels in a frame?,"To approve all labels in a frame, click on the 'Approve all in frame' button located at the bottom-right corner of the screen. This will approve all labels for the currently visible frame."
89,546,How do I create a new Ontology?,"To create a new Ontology, click the '+ New ontology' button located on the right side of the screen.","I've selected an Ontology, what should I do next?","After selecting an Ontology by clicking the 'Select' button next to your choice, click the 'OK' button at the bottom right of the screen to attach the Ontology to your project.",How can I view more Ontologies?,"You can view more Ontologies by using the pagination controls at the bottom of the list, which let you move to the next page."
90,719,What is the formula used to calculate variance as shown in the screenshot?,"The formula for calculating variance shown in the screenshot is Var(X) = 1/n ∑(x_i - μ)^2, where μ = 1/n ∑x_i.",How does the formula in the screenshot relate to the measure of dispersion explained in the documentation?,"The formula in the screenshot calculates variance, which the documentation describes as a measure of dispersion, considering the spread of all data points as the mean squared difference from the mean.",What should I do next if I want to implement this variance calculation in a project?,"For implementing the variance calculation in a project, you can check the 'Implementation on GitHub' link provided below the screenshot for code examples and further guidance."
91,277,How do I use automated labeling in this interface?,"To use automated labeling, click the 'Automated labeling' button located at the bottom left of the screen, highlighted with a blue border.",What do I do next to start segmenting objects in the image?,"After clicking 'Automated labeling,' open the 'Detection and segmentation' section to begin segmenting objects in the image shown.",Where can I find the option to play the video?,"You can find the video playback options below the video frame, where there are controls including play, pause, and timeline navigation."
92,633,How can I add data from a private cloud?,"To add data from a private cloud, click on the option labeled 'Import from private cloud' located on the top menu of the upload section.",What types of files can I upload on this screen?,"You can upload images or videos in the following formats: TIFF, JPEG, PNG, WebP, BMP, AVIF for images and MP4, MOV, WebM, MKV for videos, as indicated below the drag-and-drop area.",What do I do next after selecting the files to upload?,"After selecting the files to upload, click on the 'Upload' button at the top left of the menu to proceed with importing the files, as described in the documentation."
93,721,What inconsistency is shown in the frames?,"The inconsistency is that in Frame 1 the object is labeled as 'CAT:1', while in Frame 2 the same overlapping object is labeled as 'DOG:1'.",Why might the object class be flagged as potentially wrong?,"The object might be flagged as potentially the wrong class because the same object appears as 'CAT:1' in Frame 1 and 'DOG:1' in Frame 2, indicating a class inconsistency in consecutive frames.",What do I do next to correct the class inconsistency?,"To correct the class inconsistency, you can manually verify and update the object class in the data annotation tool to ensure it remains consistent across consecutive frames. Alternatively, check the GitHub implementation for potential updates or solutions regarding the algorithm handling this inconsistency."
94,667,What is the first step I need to take in the data curation process?,"The first step in the data curation process, as shown in the diagram, is to 'Create project'.","After creating collections, what should I do next?","After creating collections, the next step is to 'Sync project', as indicated by the arrow pointing from 'Create collections' to 'Sync project'.",Which products are involved in the annotation process according to the screenshot?,"The products involved are 'Annotate' and 'Active', as listed under the 'PRODUCTS' section with respective icons."
95,359,How can I check the number of frames for a specific video in this list?,"To check the number of frames for a specific video, look in the 'Frames' column (Column E). For example, the video 'dji_0574.mp4' has 967 frames.",What is the status of the task associated with the file 'dji_0574.mp4'?,"The status of the task associated with the file 'dji_0574.mp4' is 'In review', as shown in the 'Status' column (Column D).",What do I do next to reopen a task for annotation?,"To reopen a task for annotation, check the file you want to reopen and then click the 'Reopen' button at the top next to the search field."
96,367,How can I change the time period displayed in the task actions over time chart?,"To change the time period, select a range of dates in the input fields labeled 'A' above the chart. You can adjust the start and end dates as needed.",What should I do next if I want to download the data in the chart as a CSV file?,"To download the data as a CSV file, click on the 'Download CSV' button labeled 'C' situated above the chart.",How can I hide the days without any task actions from the chart view?,"To hide days without any actions, use the toggle switch labeled 'B'. When toggled on, it will remove all days where no actions were taken from the chart view."
97,468,How can I find datasets that I have not joined yet?,"To find datasets you have not joined, click on the 'All Encord datasets' tab at the top of the screen, which shows available datasets such as 'Cows', 'Chickens', and 'Lambs'.",What do I do next to join the 'Chickens' dataset?,"To join the 'Chickens' dataset, click the 'Join dataset' button next to the dataset name. This will assign you the Admin role automatically.",How can I search for a specific dataset in this view?,You can search for a specific dataset by entering the dataset name in the 'Search datasets' bar located at the top of the dataset list.
98,12,How can I delete the 'Apple detection model'?,"To delete the 'Apple detection model', navigate to the 'Danger zone' in the 'Settings' tab and click on the 'Delete model' button.",What technologies are used by the 'Apple detection model'?,"The 'Apple detection model' uses 'Object detection', 'PyTorch', and 'YOLO_V5' technologies, as indicated by the labels under the model name.",What do I do next to train the 'Apple detection model'?,"To train the 'Apple detection model', click the 'Train model' button located on the right side of the screen."
99,451,How can I join the 'Cows and chickens' project?,"To join the 'Cows and chickens' project, navigate to the 'Projects' section under the 'Annotate' heading, select the 'All Encord projects' tab, find 'Cows and chickens', and click the 'Join project' button next to it.",What should I do next after selecting the 'All Encord projects' tab if I want to see only the projects I belong to?,"After selecting the 'All Encord projects' tab, click on the 'Filter by project owner' search bar, and select 'My projects only' to see only the projects you belong to.","Is it possible to filter projects by tags, and how can I do it in the current view?","Yes, it is possible to filter projects by tags. In the current view, use the 'Filter by tags' field located to the right of the 'Filter by project owner' field to filter projects by specific tags."
100,510,How do I finalize creating this project?,"To finalize creating the project, click on the 'Create project' button located at the top right corner of the screen.",What is the purpose of the 'Annotate 1' stage in this workflow?,"The 'Annotate 1' stage is designated for all available annotators to work on the project, as indicated in the workflow section.",What details have been entered in the project settings so far?,"In the project settings, the Title is 'Football', and the Description is 'Annotation of football videos'. There are optional tags that have not been filled out."
101,166,How can I delete all labels of clownfish within a specific range?,"To delete all labels of clownfish within a specific range, select 'Clownfish' from the 'Delete class from range' dropdown menu, set the range from 308 to 466 frames, and then click the 'Delete' button.",What do I do next to delete labels below a certain confidence level?,"To delete labels below a certain confidence level, navigate to the 'Delete labels below confidence' section, set the minimum confidence threshold (e.g., 0.7), specify the frame range from 0 to 466, and click the 'Delete' button.",Where do I find the option to delete all labels within a specified frame range?,"You can find the option to delete all labels within a specified frame range in the 'Delete all labels from range' section, where you set the range from 0 to 466 frames and then click the 'Delete' button."
102,363,How can I start working on the task reserved by justin+an1@cord.tech?,"To start working on the task reserved by justin+an1@cord.tech, click the 'Initiate' button located in the 'Actions' column next to their email.",What do I do next to release the task reserved by justin@cord.tech?,"To release the task reserved by justin@cord.tech, click on the three vertical dots in the 'Actions' column and then select 'Release task' from the expanded menu.",Can I filter tasks based on who reserved them?,"Yes, you can filter tasks based on who reserved them by clicking the filter icon located beside the 'Reserved by' column header."
103,324,How can I include all assets in the copy?,"To include all assets in the copy, check the 'Select all' checkbox at the top of the interface. This will select all options including Ontology, Datasets, Labels, Models, and Collaborators.",What should I do next to configure label selection for this copy?,"To configure label selection, click on 'Specify which labels to include'. This is highlighted in blue, above the file list. From the dropdown, choose 'Selected Labels' to specify which labels you want to include.",How can I adjust the settings for the copy process?,"To adjust settings for the copy process, click on the '+ Advanced settings' option, which is highlighted in blue on the right side of the interface."
104,629,How can I create a new dataset in the Encord platform?,"To create a new dataset, navigate to the 'Annotate' section on the left menu and click on 'Datasets'. Then click the red '+ New dataset' button on the top right of the screen.",What do I do next after clicking 'New dataset' to create a Mirrored Dataset?,"After clicking 'New dataset', give your dataset a meaningful title and description. Then hover over 'Looking to create a mirrored dataset?' and click 'Yes, proceed', followed by clicking 'Create dataset'.",Where can I find my existing datasets listed?,"Your existing datasets are listed in the main section under 'My datasets'. They include names like 'Cats', 'Sports images', and 'Ski images' along with the creation date."
105,197,How can I change the size of the brush tool for my bitmask?,You can adjust the size of the brush tool by using the slider under 'Size' in the Brush tool menu. The current brush size is set to 50 px.,Is there an option to switch between 2D and 3D modes while using the brush tool?,"Yes, you can switch between 2D and 3D modes in the Brush tool menu. Currently, the mode is set to 2D.",What should I do next if I’ve finished creating connected bitmask labels?,"Once you've finished creating connected bitmask labels, press the ESC key to stop the bitmask creation process."
106,646,How can I upload files to a specific folder in the Encord platform from this screen?,"To upload files, click the '+ Upload files' button located on the top right of the 'All folders' section. Then, choose the folder you want to upload your files to or create a new one by clicking '+ New folder'.",Where can I find the option to create a new folder for my files?,"To create a new folder, look for the '+ New folder' button next to the '+ Upload files' button at the top of the 'All folders' section.",What do I do next to organize my uploaded files into a new folder?,"After uploading your files, click '+ New folder' to create a new folder. Then, organize your files into this folder by selecting or dragging them into 'All folders' section where your new folder is listed."
107,247,How can I select the files I want to export labels for?,"To select the files you wish to export labels for, check the checkboxes next to each file you want to include in the export under the 'File' column in the 'Select Labels' section.",What export format options are available?,"You can select between two export formats: JSON and COCO, as shown under the 'Format' section on the left side of the screen.",What do I do next to export the selected labels?,"After selecting the desired files and options, click the 'Export' button located next to the 'Filter' option at the top of the 'Select Labels' section to initiate the export process."
108,691,What dataset is currently being analyzed in the screenshot?,"The dataset currently being analyzed is '[Open source][Validation] COCO 2017 Dataset', as shown at the top left of the screenshot.",How can I switch to analyzing a different metric or property?,"You can switch to a different metric or property by using the dropdown menu labeled 'Metric or Property', located below 'Metric Distribution.' It is currently set to 'Annotation Class.'",What should I do next if I want to explore the 'Model Evaluation' section based on this screenshot?,"To explore the 'Model Evaluation' section, you should click on 'Model Evaluation' in the top navigation bar, next to 'Analytics.'"
109,230,How can I create a bounding box for the 'Road closed sign' in the image?,"To create a bounding box for the 'Road closed sign', click on the 'Road closed sign' class in the 'Classes' menu on the left, or use the hotkey <kbd>1</kbd>. Then, click on the location in the image where the sign is to define the bounding box.",What do I do next to assign a classification to the bounding box for the 'Road closed sign'?,"After creating the bounding box for the 'Road closed sign', highlight the object by clicking on the blue bounding box in the image editor. Assign a classification by clicking on the relevant buttons in the Labels section or by using the hotkeys, such as <kbd>q</kbd> or <kbd>u</kbd>.",How can I view all labels that have been assigned in this image?,"To view all labels, look at the 'Labels' section on the left. You can see labels like 'Road closed sign (0)' and 'Gate (0)'. Use the visibility icon next to each label to toggle their display in the image."
110,381,How do I add a new tag to my project in the screenshot?,"To add a new tag, click on the 'Project tags' drop-down menu shown and select a tag from the available options, such as 'gastro', 'IBD', or 'rugby'.",What tags are currently assigned to the project in the screenshot?,"The tags currently assigned to the project are 'CrohnsDisease' and 'dicom', as shown in the 'Project tags' section.",What do I do next to remove a tag from this project?,"To remove a tag from the project, click the 'x' button next to the tag name in the 'Project tags' field, such as next to 'CrohnsDisease' or 'dicom'."
111,357,How many annotation tasks are currently in the 'Annotate' state?,"The screenshot shows a doughnut chart with tasks divided into 'Annotate' and 'Completed' states. The purple section, labeled 'Annotate', represents a portion of the total 21 tasks, but the exact number requires deeper analysis of the chart's proportions.","What is the total number of frames, and how many have been submitted?","According to the screenshot, the 'Frame status overview' section indicates there are a total of 717 frames, of which 8 have been submitted.",What do I do next to start annotating new tasks?,"To start labeling new tasks, click the 'Start labelling' button located on the right side of the screen next to the circular refresh icon."
112,627,What does the icon with three horizontal lines and dots represent in the Encord interface?,"The icon with three horizontal lines and dots in the Encord interface represents a Mirrored Dataset. These datasets track corresponding folders without displaying them in the _Files_ interface, identifiable by the 'M' icon.",How can I tell if a dataset is a Mirrored Dataset in the Encord platform?,"In the Encord platform, you can identify a Mirrored Dataset by looking for the 'M' symbol on the Dataset icon, as depicted by the icon with three horizontal lines and dots.",What do I do next to manage files using the new _Files_ interface on Encord?,"To manage files with the new _Files_ interface on Encord, ensure that you've transitioned to the _Files_ system where all data management is handled. After _Files_ is enabled, you will no longer see Mirrored Datasets in the _Files_ section, but these will still appear in the _Datasets_ section for use."
113,497,How can I create a new workflow template in Encord?,"To create a new workflow template, click the '+ New workflow template' button, shown in red on the right side of the screenshot.",What options do I have for existing workflow templates?,"The existing workflow templates listed include 'Standard workflow', 'Double review workflow', 'Consensus workflow', 'Tie-breaker consensus workflow', 'Expert review', 'Single review', and 'Annotate + review team 1'.",Where can I find the workflow templates section in the Encord platform?,"You can find the 'Workflow templates' option under the 'Annotate' section in the left sidebar, as highlighted in pink in the screenshot."
114,385,How can I invite a new collaborator to the project?,"To invite a new collaborator to the project, click on the '+ Invite collaborators' button located on the right side of the screen under the 'Settings' tab.",What role does alexey@cord.tech have in this project?,"The user alexey@cord.tech has the role of 'Admin' in this project, as indicated by the red 'Admin' badge next to the user's email.",What do I do next to change a collaborator's role?,"To change a collaborator's role, click on the dropdown menu next to the collaborator's email, currently showing 'Annotator'. Choose a different role from the options provided in the dropdown."
115,351,How do I create a new ontology?,"To create a new ontology, click on the **New ontology** button located in the top right corner of the screen.",How can I select the 'Apple and Oranges' ontology for my project?,You can select the 'Apples and Oranges' ontology by clicking the **Select** button next to it in the list. It's currently listed as being created 202 days ago.,What do I do next after selecting an ontology?,"After selecting an ontology, click the **OK** button at the bottom right of the screen to attach the ontology to your project."
116,380,How can I access the annotation instructions in this interface?,"To access the annotation instructions, click on the 'Annotation instructions' button located on the top left of the interface, above the 'Classes' section.",What should I do next to upload annotator instructions in PDF format?,"To upload annotator instructions, locate and click the 'Add instructions' button as suggested in the documentation, which is not visible in the screenshot but typically exists based on instructions context. Afterward, you can upload your file.",Where can I find the 'Submit' button to finalize my annotation task?,"The 'Submit' button is located at the top right corner of the interface, allowing you to finalize and submit your annotation work."
117,456,How do I create a new dataset in this section?,"To create a new dataset, click the red '+ New dataset' button in the upper right corner of the Datasets section.",I just created a dataset. What should I do next to give it a title and description?,"After creating the dataset, enter a meaningful title and description as prompted. This is important for keeping your data organized.",Is there an option to create a mirrored dataset from here?,"Yes, you can toggle the 'Looking to create a mirrored dataset?' option to create a Mirrored Dataset as mentioned in the tip below the screenshot."
118,64,What IP addresses should I use for the Preferred and Alternate DNS?,"For the Preferred DNS, use 8.8.8.8, and for the Alternate DNS, use 8.8.4.4, as shown in the input fields under the IPv4 section.",How do I enable IPv4 settings?,"To enable IPv4 settings, use the toggle switch labeled 'IPv4' and set it to On, as depicted in the screenshot.",What do I do next after setting the DNS addresses to Google's servers?,"After setting the Preferred DNS to 8.8.8.8 and the Alternate DNS to 8.8.4.4, click the 'Save' button at the bottom of the interface to apply the changes."
119,589,How can I upload my files to Cloud data in Encord?,"In the screenshot, there are icons for different cloud storage services above the Encord interface, such as Google Cloud, Amazon AWS, and others. You can integrate these services into Encord to upload your files for cloud storage.",What types of files can I store in the folders shown in the screenshot?,"The folders in the screenshot contain icons representing images, videos, and documents. This suggests you can store similar types of files in these folders within Encord.",What do I do next to organize my data into a dataset?,"According to the screenshot, once your data is uploaded into the folders, you can organize it by linking these folders to Datasets A and B. For a specific project setup, Dataset A is linked to Project A."
120,71,How can I attach a project to this notification?,"To attach a project, click the 'Attach' button next to the project you want to include. For example, next to 'Apples detection', click 'Attach'.",What is the next step after selecting my projects?,"After selecting your projects and attaching them, click the 'Next' button at the bottom left of the screen to proceed to the next step in creating your notification.",What does the 'Detach' button do next to the 'Apples project'?,The 'Detach' button allows you to remove the 'Apples project' from the current notification setup. Clicking it will disassociate the project from the notification you are configuring.
121,717,What does the formula H(p) = -∑(pᵢ log₂ pᵢ) represent?,"The formula represents the entropy of a random variable, which is a measure of the average level of 'information', 'surprise', or 'uncertainty' inherent in the variable's possible outcomes.","In the entropy formula, what does pᵢ refer to?","In the formula, pᵢ refers to the probability of occurrence of the i-th possible outcome of the random variable.",What do I do next to calculate entropy for a given dataset?,"To calculate entropy for a given dataset, list all possible outcomes and their probabilities. Then, apply the formula H(p) = -∑(pᵢ log₂ pᵢ) using these probabilities to compute the entropy."
122,511,Where can I find the option to upload a JSON layout?,"You can find the 'Upload JSON layout' button on the 'Layouts' page, accessible via the 'Settings' menu. It is positioned next to 'Read documentation' and 'View examples' buttons.",What do I do next to upload a layout file?,"After clicking on 'Upload JSON layout,' you should select the JSON file that contains your desired layout. This will apply the layout within the Label Editor.",How can I access more information on how to use custom editor layouts?,You can access more information by clicking on 'Read documentation' located next to the 'Upload JSON layout' button. This will provide detailed guidance on using custom editor layouts.
123,506,How do I add tags to my project?,"To add tags to your project, use the 'Tags' field under 'Project settings' on the left side of the screen. This field is optional and allows you to enter tags for categorizing and finding your projects more easily.",What should I do next to attach an ontology to my project?,"To attach an ontology to your project, click the 'Attach ontology' button located under the 'Ontology' section in the 'Project settings' panel on the left side of the screen. Then, select the ontology you created in STEP 5 and click the 'Attach' button.",Where can I input the title and description for my project?,You can input the title and description for your project in the 'Project settings' panel on the left side. There are fields labeled 'Title' and 'Description' where you can enter this information.
124,602,How do I invite a user to this folder?,"To invite a user, enter their email address in the 'Invite individuals' field. For example, 'eric@encord.com' is currently typed in. Then, click the red 'Add' button next to the email field.",What roles can I assign to a user I'm inviting?,"You can assign two roles: 'Viewer' and 'Admin'. 'Viewer' allows the user to download and view files, while 'Admin' grants full permissions to edit, copy, move, and manage collaborators.",What do I do next after selecting a role for the user?,"After selecting the desired role, click the red 'Add' button to confirm your selection and invite the user with the specified permissions to access the folder."
125,69,How can I create a new notification for my Manual QA Project?,"To create a new notification, click the '+ Create notification' button, which is the red button located on the right side of the Notifications tab.",How do I modify the settings of an existing notification?,"To modify the settings of an existing notification, click the gear icon next to the notification titled 'Webhook notification - complete.'",What should I do next to filter my notifications by title?,"To filter your notifications by title, type the desired title keyword in the 'Search notifications' bar, which is located at the top of the notifications list."
126,266,How do I start creating a new object primitive in this interface?,"To start creating a new object primitive, click the 'Add a primitive' button located at the top left of the screen, labeled as A. This will allow you to begin setting up your new template.",I want to hide the names of the vertices on the canvas. How can I do this?,"To hide the vertex names on the canvas, click the 'Names hidden' button, labeled as B. This toggle will allow you to show or hide the vertex names as needed.",What should I do next after adding all the points and edges to my object primitive?,"Once you have added all the points and edges necessary for your object primitive, click the 'Save current state' button, labeled as F, to ensure your template is saved. Failing to save will result in losing your work if you exit the editor."
127,261,How do I enable the Display JSON toggle to see the ontology structure?,"To enable the Display JSON toggle, click on the toggle switch located at the top-right corner of the Ontology preview section. Ensure that it is switched to the 'on' position as indicated in the screenshot.",What attributes are associated with the 'Person' object in the JSON?,"The 'Person' object in the JSON has an attribute called 'Sex,' which is of type 'radio' and has options such as 'Male' with the ID '1.1.1'.",What do I do next if I want to add a new attribute to the ontology?,"To add a new attribute, you should return to the ontology setup or editing interface in your SaaS product and add the desired attribute in the corresponding section, ensuring that it is formatted correctly in the JSON structure as displayed in the preview."
128,289,How can I add a new collaborator to the project?,"To add a new collaborator, click on the '+ Invite collaborators' button located in the 'Individuals' section under the 'Team' pane in the project 'Settings'.",What roles are currently assigned to the existing collaborators in the project?,"The existing collaborators, david.babuschkin@encord.com and daniel@encord.com, both have the role of 'Admin' as indicated by the 'Admin' label next to each email.",What do I do next to manage a group of collaborators within this project?,"To manage a group of collaborators, you can go to the 'Groups' section next to 'Individuals'. Click the 'Manage' button to add or configure groups."
129,474,How do I start tracking an object from this menu?,"To start tracking an object, click on 'Track object' in the menu. Alternatively, use the keyboard shortcut Shift + T.",What are the available options for tracking speed?,"The available tracking speed options are 'Standard (fast)' and 'Advanced (slow)', as seen in the dropdown below the menu.",What do I do next after selecting 'Advanced (slow)' for the tracking option?,"After selecting 'Advanced (slow)', ensure you have initiated the tracking by clicking 'Track object' or using the keyboard shortcut Shift + T. This will start tracking for 30 consecutive frames."
130,8,How do I add a description to my model?,"You can add a description to your model by typing it into the 'Description (optional)' text box on the left side, below the 'Title of model'. You can enter any text that describes your model's purpose.",Where do I specify the ontology for my model?,"To specify the ontology for your model, use the 'Set up the model’s ontology' section on the right side of the screen. You can add terms by clicking the '+ Add model ontology' button. Currently, 'Apples' is already added.",What do I do next to complete the model creation?,"Once you have entered the title, description, selected a model type, framework, and model, and set up the model's ontology, you should click the 'Create model' button at the bottom right of the screen to complete the model creation process."
131,638,How can I create a new folder in this interface?,"To create a new folder, click the '+ New folder' button located at the top right of the 'All folders' section. A dialog will appear allowing you to enter a folder name and description.",Where can I find the list of existing folders?,"The list of existing folders is displayed under the 'Name' column in the 'Files' section. Currently, folders like 'Ski picture', 'My Data', and 'DICOM new' are visible.",What do I do next after creating a new folder?,"After creating a new folder by clicking 'Create' in the dialog, the folder will be listed under 'Files'. You can give it a meaningful name and description before finalizing the creation."
132,260,What is the 'Beautiful Voice' object used for in this application?,"The 'Beautiful Voice' object is an Audio Region designed for transcribing audio files. It has a 'Lyrics' Transcript attribute, where users can input the transcription of the audio file.",How can I mark an attribute as a Transcript in this setup?,"To mark an attribute as a Transcript, you need to toggle the 'Transcript' switch to the 'on' position, as indicated by the red slider next to the 'Transcript' label in the 'Beautiful Voice' settings.",What do I do next to add a new transcription attribute?,"To add a new transcription attribute, click on the '+ Add attribute' button, which is located below the current 'Lyrics' attribute field. This will allow you to create a new text field for transcription."
133,586,What is the purpose of the 'Explorer' button in the screenshot?,"The 'Explorer' button, found at the top right of the screenshot, is used to access the Index Explorer page. It's indicated by the grid icon next to the 'Upload files' button.",How can I manage access to the 'Index - GCP Integration' folder?,"You can manage access by clicking the 'Manage access' button in the 'Details' panel on the right side of the screenshot. This panel shows the folder details, including its ID and added date.",What do I do next to explore the contents of the current folder?,"To explore the contents of the current folder, click on the 'Explorer' button located at the top right corner of the page. This will take you to the Index Explorer page."
134,587,How can I navigate to the Collections page from the current screen?,"To navigate to the Collections page from the current screen, click on the 'Collections' button at the top, next to the 'Explorer' button.",What do I do next to search for a specific area in the dataset?,"To search for a specific area in the dataset, use the dropdown labeled 'Area' to select or type in the area you want to search for, which is located above the frames display.",How can I view the total number of frames available?,"The total number of frames available is displayed on the right side of the screen, under 'Overview'. It currently shows '996K' frames."
135,335,How do I add a group as collaborators in this interface?,"To add a group as collaborators, click the 'Select group' drop-down and choose a group from the list, such as 'Testing new group1' or 'Annotators'. Then, use the 'Select role' drop-down to assign a role before clicking 'Add' to add the group.",What should I do next after selecting a group?,"After selecting a group from the 'Select group' drop-down, choose a role for them by clicking the 'Select role' drop-down. Once a role is selected, click the 'Add' button to add the group as collaborators.",Where will I see the groups I have added?,"The groups you have added will appear under the 'Added groups' heading, as mentioned in the documentation text below the screenshot."
136,368,How can I change the time period displayed in the chart?,"To change the time period displayed, use the date range selector at the top labeled 'A'. You can choose your desired dates to adjust the data shown in the chart.",How do I download the data shown in the chart?,"You can download the data by clicking on the 'Download CSV' button, labeled 'B' at the top of the screenshot.",What do I do next if I want to view the data in a table format?,"To view the data in a table format, click on the 'Table' option next to the chart button, labeled 'C'. This will display the data in a detailed tabular format."
137,17,How can I change my password?,"To change your password, navigate to the 'General' tab on the Settings page. There you will find the 'Change Password' button next to the password field.",What do I do next to set up Multi-Factor Authentication?,"To set up Multi-Factor Authentication, click on the 'Manage Multi-Factor Auth' button found in the 'General' tab on the Settings page. This option is next to the 'Multi-Factor Authentication' label.",Where can I enable beta features in Encord Labs?,Beta features in Encord Labs can be enabled using the toggles found at the bottom of the 'General' tab on the Settings page. Options like 'SAM 2 Video Tracking' and 'Label Editor V2' can be toggled on.
138,93,How can I hide the object names in the Label Editor?,"To hide the object names, toggle the 'Display object names' switch to the off position. Currently, it is in the on position as indicated by the red switch.",What setting adjusts the visibility of label hash IDs?,The 'Display object hash' setting adjusts the visibility of the label hash (ID) for annotation objects. You can toggle this switch to hide or show the hash IDs in the Label Editor.,What do I do next to change the font size of the object labels?,"To change the font size of the object labels, enter a new value in the text box next to 'Object label font size'. It is currently set to 10pt. You can type a different number to set the font size as desired."
139,312,What action was taken on the 'weather' classification and why?,The 'weather' classification was rejected with the comment: 'Incorrect classification chosen.' It was originally created 28 days ago on frame 168 by justin@cord.tech.,Who approved the 'Road' object and when was it originally created?,The 'Road' object was approved by justin@cord.tech 2 minutes ago. It was originally created 28 days ago on frame 203.,What do I do next to ensure my reviewed annotations can be completed?,"To complete your task, make sure all reviewed annotations are either 'Approved' or 'Deleted' as mentioned in the documentation. If the review was done by an 'Expert Reviewer', you can proceed without this requirement."
140,144,How can I access the drawing settings for polygon annotation?,Click the gear icon visible in the screenshot to access the settings where you can adjust polygon coarseness for free-hand drawing.,What do I do next to create a new polygon annotation on the canvas?,"First, ensure you have selected a class from the 'Classes' menu or use a hotkey like <kbd>1</kbd>, <kbd>2</kbd>, or <kbd>3</kbd>. Then, draw the polygon on the canvas and double-click to close it.",How do I continue editing an existing polygon on the canvas?,"To instantiate an existing polygon and keep its identifier, click on the 'Highlight' icon or use a hotkey such as <kbd>q</kbd>, <kbd>w</kbd>, or <kbd>e</kbd>."
141,728,"What does the formula for Score(o_i,t) imply about inconsistent classes?","The formula suggests that the score for an object o_i,t is determined by the intersection over union (iou) of the object between frames, unless the class of the object changes between frames. If the class changes, the score is 0, indicating an inconsistency.","According to the formula, when would the score be zero?","The score would be zero if the class of the object o_i,t at time t is different from the class of the same object at time t+1, as indicated by the condition CLASS = CLASS being false.",What do I do next to evaluate the consistency of object classes using this formula?,"Next, you should apply this formula to the objects in your dataset across multiple frames. For each object, compare the class between consecutive frames. If they match, compute the intersection over union (iou) to get the score. If they differ, assign a score of zero to flag the inconsistency."
142,38,How can I check the connection status of my Ethernet?,"In the Network section, the Ethernet connection is highlighted and shows a green dot with the status 'Connected.'",The VPN shows 'Inactive.' How can I activate my VPN connection?,"To activate the VPN, select it from the list in the Network settings where it shows as 'Inactive,' then follow your VPN provider’s instructions to connect.",What do I do next to view more details about my Ethernet connection?,"Click the 'Details' button next to the Ethernet connection, as directed in the documentation."
143,164,How can I use the Editor menu to start annotating an image?,"To start annotating an image, use the Editor menu marked as 'A' in the screenshot. It allows you to access annotation tools like Box, Poly, and PolyLine in the 'Classes' section on the left side.",What steps should I take next to annotate the chicken in this image?,"First, select a class from the 'Classes' list, such as 'Box' or 'Poly', as shown in section 'C'. Then, use the Annotation canvas in section 'G' to draw directly on the image around the chicken by clicking and dragging to create your desired shape.",How do I access the automated labeling feature in the Annotation mode?,"To access the automated labeling feature, click on the 'Automated labeling' button located at the bottom left, labeled as 'E' in the screenshot."
